Alcohol,Calidad
8.4,4.5
8.5,5.0
8.7,6.0
8.8,5.0
9.0,5.4
9.05,4.0
9.1,5.217391304347826
9.2,5.25
9.23333333333333,6.0
9.25,6.0
9.3,5.186440677966102
9.4,5.194174757281553
9.5,5.316546762589928
9.55,5.5
9.56666666666667,6.0
9.6,5.1525423728813555
9.7,5.2592592592592595
9.8,5.294871794871795
9.9,5.469387755102041
9.95,3.0
10.0,5.597014925373134
10.0333333333333,6.0
10.1,5.51063829787234
10.2,5.565217391304348
10.3,5.575757575757576
10.4,5.585365853658536
10.5,5.656716417910448
10.55,6.5
10.6,5.928571428571429
10.7,5.666666666666667
10.75,6.0
10.8,6.0476190476190474
10.9,5.653061224489796
11.0,5.745762711864407
11.0666666666667,6.0
11.1,5.814814814814815
11.2,5.888888888888889
11.3,6.0625
11.4,5.71875
11.5,5.966666666666667
11.6,6.333333333333333
11.7,6.608695652173913
11.8,6.275862068965517
11.9,6.2
11.95,5.0
12.0,6.285714285714286
12.1,6.538461538461538
12.2,6.25
12.3,6.583333333333333
12.4,6.461538461538462
12.5,6.523809523809524
12.6,6.5
12.7,6.444444444444445
12.8,6.470588235294118
12.9,6.333333333333333
13.0,5.666666666666667
13.1,6.0
13.2,6.0
13.3,6.333333333333333
13.4,7.0
13.5,6.0
13.5666666666667,7.0
13.6,6.75
14.0,6.714285714285714
14.9,5.0
