Alcohol,Calidad
8.0,4.0
8.4,4.666666666666667
8.5,5.555555555555555
8.6,5.173913043478261
8.7,5.538461538461538
8.8,5.700934579439252
8.9,5.71578947368421
9.0,5.594594594594595
9.1,5.597222222222222
9.2,5.381909547738694
9.3,5.447761194029851
9.4,5.3406113537117905
9.5,5.469298245614035
9.53333333333333,5.666666666666667
9.55,5.0
9.6,5.546875
9.63333333333333,5.0
9.7,5.457142857142857
9.73333333333333,5.0
9.75,5.0
9.8,5.625
9.9,5.660550458715596
10.0,5.54320987654321
10.0333333333333,6.0
10.1,5.605263157894737
10.1333333333333,7.0
10.15,6.666666666666667
10.2,5.6692307692307695
10.3,5.776470588235294
10.4,5.875816993464053
10.4666666666667,5.0
10.5,5.83125
10.5333333333333,5.0
10.55,6.0
10.5666666666667,5.0
10.6,5.701754385964913
10.65,7.0
10.7,6.0
10.8,5.859259259259259
10.9,6.079545454545454
10.9333333333333,6.0
10.9666666666667,7.0
10.98,5.0
11.0,6.1645569620253164
11.05,5.5
11.0666666666667,6.0
11.1,6.096385542168675
11.2,6.089285714285714
11.2666666666667,7.0
11.3,6.346534653465347
11.3333333333333,6.0
11.35,6.0
11.3666666666667,6.0
11.4,5.892561983471074
11.4333333333333,6.0
11.45,6.25
11.4666666666667,6.0
11.5,6.193181818181818
11.55,6.0
11.6,6.130434782608695
11.6333333333333,6.5
11.65,6.0
11.7,6.120689655172414
11.7333333333333,6.0
11.75,6.5
11.8,6.383333333333334
11.85,5.0
11.9,6.584905660377358
11.94,7.0
11.95,7.0
12.0,6.323529411764706
12.05,6.0
12.0666666666667,6.0
12.1,6.568627450980392
12.15,6.5
12.2,6.4186046511627906
12.25,5.0
12.3,6.596774193548387
12.3333333333333,5.0
12.4,6.426470588235294
12.5,6.493975903614458
12.6,6.666666666666667
12.7,6.553571428571429
12.75,6.0
12.8,6.851851851851852
12.8933333333333,7.0
12.9,6.717948717948718
13.0,6.777777777777778
13.05,7.0
13.1,6.666666666666667
13.1333333333333,6.0
13.2,6.785714285714286
13.3,6.857142857142857
13.4,6.85
13.5,6.583333333333333
13.55,6.0
13.6,6.333333333333333
13.7,7.0
13.8,6.0
13.9,7.0
14.0,7.0
14.05,7.0
14.2,7.0
